id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26999046,Home in Palm Beach · 2 bedrooms · 3 beds · 1 bath,24721535,Beach Stays,,Pittwater,-33.600643,151.317841,Entire home/apt,550,2,1,28/7/2018,0.02,38,361,0,PID-STRA-25396
27321968,Home in North Curl Curl · 4 bedrooms · 4 beds · 3 baths,6244648,Brian And Melissa,,Warringah,-33.76236,151.30066,Entire home/apt,1000,90,1,1/1/2019,0.02,1,364,0,PID-STRA-7988
27000655,Home in Warriewood · ★5.0 · 1 bedroom · 2 beds · 1 bath,41431897,Melanie,,Pittwater,-33.6936,151.30801,Entire home/apt,650,90,4,26/12/2019,0.07,2,177,0,PID-STRA-30514
27339452,Condo in Potts Point · 1 bedroom · 1 bed · 1 bath,11984140,Emma,,Sydney,-33.87268,151.22334,Entire home/apt,1357,90,1,17/11/2018,0.02,3,90,0,
26614035,Rental unit in Woollahra · 1 bedroom · 1 bed · 1 private bath,34838462,Matéo,,Waverley,-33.89113,151.24744,Private room,95,90,0,,,1,0,0,
26615156,Rental unit in Bondi · 1 bedroom · 2 beds · 1 bath,24377646,Merran,,Waverley,-33.89072,151.26174,Entire home/apt,120,90,0,,,2,0,0,
27001081,Home in Ashfield · 4 bedrooms · 6 beds · 2 baths,7661786,Bridget,,Ashfield,-33.89578,151.13096,Entire home/apt,400,90,1,31/12/2018,0.02,1,0,0,
27003618,Rental unit in Surry Hills · ★4.33 · Studio · 1 bed · 1 bath,201709024,Ashleigh,,Sydney,-33.88662,151.21597,Entire home/apt,100,90,3,28/9/2018,0.05,3,0,0,
26617910,Guest suite in Maroubra · ★5.0 · Studio · 2 beds · 1 private bath,17558707,Mohsen,,Randwick,-33.95153,151.2452,Private room,79,90,4,5/11/2018,0.07,1,0,0,
26637673,Rental unit in Marrickville · 1 bedroom · 1 bed · 1 shared bath,85991432,Karenn,,Marrickville,-33.91171,151.14474,Shared room,22,90,1,4/8/2018,0.02,2,0,0,
27339782,Rental unit in Turrella · 1 bedroom · 1 bed · 1 shared bath,124544328,Ki,,Rockdale,-33.93138,151.14112,Private room,50,90,0,,,1,0,0,
27011525,Rental unit in Sydney  · ★4.71 · 2 bedrooms · 2 beds · 1 bath,131683829,Aaron,,Canada Bay,-33.86206,151.11127,Entire home/apt,129,6,24,15/12/2022,0.41,1,65,4,PID-STRA-8054
27341876,Boutique hotel in Darlinghurst · ★4.20 · 1 bedroom · 1 bed · 1 private bath,154618936,Sydney Boutique,,Sydney,-33.8767,151.22148,Hotel room,191,1,132,7/5/2023,2.43,5,187,21,Exempt
26639791,Guesthouse in Avalon Beach · ★4.82 · 1 bedroom · 2 beds · 1 bath,199846163,Billie,,Pittwater,-33.63203,151.3235,Entire home/apt,275,1,77,20/6/2021,1.29,1,0,0,Exempt
27029295,Home in Coogee · ★4.86 · 3 bedrooms · 3 beds · 3 baths,142498419,Anne,,Randwick,-33.92692,151.25073,Entire home/apt,800,5,8,30/12/2022,0.15,1,83,1,PID-STRA-39862
26640405,Guest suite in Bundeena · ★4.82 · 1 bedroom · 2 beds · 1 bath,74222973,Dianne,,Sutherland Shire,-34.08503,151.14219,Entire home/apt,110,2,78,18/4/2021,1.31,2,0,0,Exempt
26647389,Rental unit in North Sydney · 1 bedroom · 1 bed · 1 shared bath,27672954,Juan,,North Sydney,-33.83456,151.21168,Private room,32,90,2,15/7/2018,0.03,1,0,0,
